ID,smiles,clogp,tpsa,mw,scaffold_clogp,scaffold_tpsa,scaffold_mw
STOCK1S-00134,COc1cc(OC)c(OC)cc1/C=N/c1c(C)n(C)n(-c2ccccc2)c1=O,-0.9795066489030204,-0.3986904030846711,-0.10921562384815932,-0.343512221981219,-1.0644022802353759,-1.5730047175138229
STOCK1S-00136,c1ccc(Cn2c3ccccc3c3nc4ccccc4nc32)cc1,0.7512222518126563,-1.8333528976928763,-1.0024224525689291,0.609969480599269,-1.8333528976928763,-1.0024224525689291
STOCK1S-00137,O=c1ccc(-c2ccc([N+](=O)[O-])cc2)no1,-1.2043892196795716,0.3631403012482262,-2.1318379108248147,-0.9627806889903884,-1.3432655442824628,-2.689579710581085
STOCK1S-00143,CC1(C)CC(n2c(NCCO)nc3c(c2=O)C2(CCCC2)Cc2ccccc2-3)CCO1,-0.04683040865288101,-0.026872717688552563,0.4125492886087712,0.020328399898756247,-1.3029193699096926,-0.6669574236044299
STOCK1S-00144,COc1ccc([C@H]2[C@H](C(=O)c3ccc(OC)c(OC)c3)N3C=Cc4ccccc4[C@H]3C2(C#N)C#N)cc1,-0.1488179690957613,0.732584682269473,1.2547994921050991,0.9500979946762752,-2.2447256560034736,-0.4812479368691802
STOCK1S-00145,N/N=C1\C2CN3CCN(C2)CC1(c1ccccc1)C3,-0.9376917491214396,-1.2736486159529772,-1.6590130450108262,-1.2160310997041262,-1.8483838254003788,-1.8451237771819764
STOCK1S-00146,CCCN1C(=O)/C(=C\c2nc3ccccc3c(=O)n2-c2ccccc2)c2ccccc21,0.9587669373139188,-0.8646491620172491,0.21307415165811824,0.14714993130947773,-0.5169600710989656,-0.30823963968209184
STOCK1S-00150,Cc1c(C(=O)O)c2cc(O)ccc2n1-c1ccccc1,0.3835570964160732,-0.57747933265812,-1.5236135497541592,0.020736350140527725,-2.8530826774281834,-2.4410980698211904
STOCK1S-00151,CCCn1c(=O)c(C(=O)Nc2ccc([N+](=O)[O-])cc2O)c(O)c2ccccc21,0.2009993632233177,2.2799791346839493,-0.08512708382317907,-0.4127617755219347,-0.597256869115361,-1.5608045247632016
STOCK1S-00152,O=c1oc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc2c2ccccc12,0.5355185614759647,0.2183687343812272,-0.5318697738240238,0.4769777017817529,-1.488037111149462,-1.0896115735802951
STOCK1S-00153,NC(=O)c1ccc2c(c1)-c1ccccc1C2=O,-0.6118414935064374,-0.6684560003614262,-2.0694670022360704,-0.3527930899815212,-2.3728840922463905,-2.60266914085064
STOCK1S-00155,CCc1nc2[nH]nc(N)c2c2c1COC(C)(C)C2,-0.747484948895468,-0.0094684856061818,-1.7832538653907737,-1.3050509418366942,-1.0386914828409637,-2.664449652682204
STOCK1S-00158,CCOC(=O)CNC(=O)CC(C(=O)O)c1ccc(OC(C)C)cc1,-0.8255054326342716,0.9837593952764244,-0.6549463821750899,-0.9705317435840468,-3.0480891868965725,-3.86743421868237
STOCK1S-00161,O=C(NCCCO)/C(=C\c1ccccc1)NC(=O)c1ccccc1,-0.6536563932880182,0.054215181786133465,-0.8161890262427985,-0.256261864022335,-1.89703656508519,-2.0690158811193498
STOCK1S-00162,CCOC(=O)c1c(N)n(-c2ccc(N)cc2)c2nc3ccccc3nc12,0.24842357882925706,1.2653915144275252,-0.5311401014263829,-0.00822811702525046,-1.8333528976928763,-1.7963064246940148
STOCK1S-00168,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc([N+](=O)[O-])o1,-1.2890388948471618,1.0043280331919542,-1.0646706670026929,-0.866708407053195,-0.7020778123387343,-1.9699549943191044
STOCK1S-00171,Cn1ncc(/N=C/c2ccccc2)c1C(N)=O,-1.9188120805819475,-0.14988899445258688,-2.0070066936876865,-0.7289742066750856,-1.4247489944862932,-2.713980096082327
STOCK1S-00172,CCn1c(=O)c(C(=O)Nc2ccc(O)cc2)c(O)c2ccccc21,-0.4282638847092531,0.5735732891532616,-0.8166401473595196,-0.4127617755219347,-0.597256869115361,-1.5608045247632016
STOCK1S-00175,O=C1CCCC2=C1C(c1cccc([N+](=O)[O-])c1)Nc1ccc3ccccc3c12,0.3565303928987109,-0.19063071955450184,-0.24605788241462795,0.9807962503695816,-1.89703656508519,-0.8037996821708978
STOCK1S-00176,COc1ccc(C2C3=C(CC(C)(C)CC3=O)N(CCc3ccc(OC)c(OC)c3)C3=C2C(=O)CC(C)(C)C3)cc1,1.0107805931397866,-0.47424059235132704,1.900927919096955,0.893851855092027,-1.5695205613532914,0.08959629787115435
STOCK1S-00177,COc1ccc(/C=N/c2ccc(C(=O)O)cc2)cc1OC,-0.3578924680036658,-0.35359761996216105,-1.3003118425739666,-0.0778346270275159,-2.5591884856735936,-2.5898785513428386
STOCK1S-00178,Cc1ccc(C2C3C(=O)OC(=O)C3C3(C(=O)c4ccccc4C3=O)N2C2CCCCC2)cc1,0.3646893977341403,0.14598295094772906,0.6595382903780425,-0.0408131425867497,0.14598295094772734,0.4857670265979739
STOCK1S-00179,CCC(=O)NCCc1c(C(=O)O)[nH]c2ccc([N+](=O)[O-])cc12,-1.5139214656237128,1.909348101475268,-1.0523311986116135,-0.7250986793782561,-2.4235145855769256,-3.383762523467924
STOCK1S-00180,CCCCCOC(C(=O)O)(c1ccccc1)c1ccccc1,0.5599955759822559,-1.2075916441858012,-1.1384289260682556,-0.15932268782137704,-3.0480891868965725,-2.750998501255568
STOCK1S-00182,CCCCCC/C(C=O)=C/c1ccccc1,0.7206259836797925,-2.3728840922463905,-2.1551634842568133,-0.9705317435840468,-3.0480891868965725,-3.86743421868237
STOCK1S-00183,Cn1c(=O)c2c(nc(NCc3ccccc3)n2Cc2ccccc2)n(C)c1=O,-0.05651922689495493,-0.12694705216218938,-0.18359757386624426,-0.7733387954677382,0.7321891315403279,-0.5311401014263829
